Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Sexo;Periodo;Total
Total Nacional;;;Total;2024;48.619.695
Total Nacional;;;Total;2023;48.085.361
Total Nacional;;;Total;2022;47.486.727
Total Nacional;;;Total;2021;47.400.798
Total Nacional;;;Hombres;2024;23.826.871
Total Nacional;;;Hombres;2023;23.565.593
Total Nacional;;;Hombres;2022;23.288.747
Total Nacional;;;Hombres;2021;23.248.611
Total Nacional;;;Mujeres;2024;24.792.824
Total Nacional;;;Mujeres;2023;24.519.768
Total Nacional;;;Mujeres;2022;24.197.980
Total Nacional;;;Mujeres;2021;24.152.187
Total Nacional;01 Andalucía;;Total;2024;8.631.862
Total Nacional;01 Andalucía;;Total;2023;8.584.147
Total Nacional;01 Andalucía;;Total;2022;8.511.167
Total Nacional;01 Andalucía;;Total;2021;8.484.804
Total Nacional;01 Andalucía;;Hombres;2024;4.249.355
Total Nacional;01 Andalucía;;Hombres;2023;4.229.831
Total Nacional;01 Andalucía;;Hombres;2022;4.196.620
Total Nacional;01 Andalucía;;Hombres;2021;4.182.620
Total Nacional;01 Andalucía;;Mujeres;2024;4.382.507
Total Nacional;01 Andalucía;;Mujeres;2023;4.354.316
Total Nacional;01 Andalucía;;Mujeres;2022;4.314.547
Total Nacional;01 Andalucía;;Mujeres;2021;4.302.184
Total Nacional;02 Aragón;;Total;2024;1.351.591
Total Nacional;02 Aragón;;Total;2023;1.341.289
Total Nacional;02 Aragón;;Total;2022;1.328.215
Total Nacional;02 Aragón;;Total;2021;1.331.938
Total Nacional;02 Aragón;;Hombres;2024;668.275
Total Nacional;02 Aragón;;Hombres;2023;662.674
Total Nacional;02 Aragón;;Hombres;2022;656.811
Total Nacional;02 Aragón;;Hombres;2021;658.263
Total Nacional;02 Aragón;;Mujeres;2024;683.316
Total Nacional;02 Aragón;;Mujeres;2023;678.615
Total Nacional;02 Aragón;;Mujeres;2022;671.404
Total Nacional;02 Aragón;;Mujeres;2021;673.675
Total Nacional;03 Asturias, Principado de;;Total;2024;1.009.599
Total Nacional;03 Asturias, Principado de;;Total;2023;1.006.060
Total Nacional;03 Asturias, Principado de;;Total;2022;1.004.960
Total Nacional;03 Asturias, Principado de;;Total;2021;1.012.117
Total Nacional;03 Asturias, Principado de;;Hombres;2024;481.478
Total Nacional;03 Asturias, Principado de;;Hombres;2023;479.739
Total Nacional;03 Asturias, Principado de;;Hombres;2022;479.658
Total Nacional;03 Asturias, Principado de;;Hombres;2021;483.186
Total Nacional;03 Asturias, Principado de;;Mujeres;2024;528.121
Total Nacional;03 Asturias, Principado de;;Mujeres;2023;526.321
Total Nacional;03 Asturias, Principado de;;Mujeres;2022;525.302
Total Nacional;03 Asturias, Principado de;;Mujeres;2021;528.931
Total Nacional;04 Balears, Illes;;Total;2024;1.231.768
Total Nacional;04 Balears, Illes;;Total;2023;1.209.906
Total Nacional;04 Balears, Illes;;Total;2022;1.187.043
Total Nacional;04 Balears, Illes;;Total;2021;1.183.415
Total Nacional;04 Balears, Illes;;Hombres;2024;613.910
Total Nacional;04 Balears, Illes;;Hombres;2023;602.649
Total Nacional;04 Balears, Illes;;Hombres;2022;592.100
Total Nacional;04 Balears, Illes;;Hombres;2021;590.990
Total Nacional;04 Balears, Illes;;Mujeres;2024;617.858
Total Nacional;04 Balears, Illes;;Mujeres;2023;607.257
Total Nacional;04 Balears, Illes;;Mujeres;2022;594.943
Total Nacional;04 Balears, Illes;;Mujeres;2021;592.425
Total Nacional;05 Canarias;;Total;2024;2.238.754
Total Nacional;05 Canarias;;Total;2023;2.213.016
Total Nacional;05 Canarias;;Total;2022;2.185.607
Total Nacional;05 Canarias;;Total;2021;2.178.924
Total Nacional;05 Canarias;;Hombres;2024;1.105.037
Total Nacional;05 Canarias;;Hombres;2023;1.092.723
Total Nacional;05 Canarias;;Hombres;2022;1.080.244
Total Nacional;05 Canarias;;Hombres;2021;1.077.860
Total Nacional;05 Canarias;;Mujeres;2024;1.133.717
Total Nacional;05 Canarias;;Mujeres;2023;1.120.293
Total Nacional;05 Canarias;;Mujeres;2022;1.105.363
Total Nacional;05 Canarias;;Mujeres;2021;1.101.064
Total Nacional;06 Cantabria;;Total;2024;590.851
Total Nacional;06 Cantabria;;Total;2023;588.387
Total Nacional;06 Cantabria;;Total;2022;585.450
Total Nacional;06 Cantabria;;Total;2021;584.708
Total Nacional;06 Cantabria;;Hombres;2024;286.322
Total Nacional;06 Cantabria;;Hombres;2023;285.133
Total Nacional;06 Cantabria;;Hombres;2022;284.061
Total Nacional;06 Cantabria;;Hombres;2021;283.854
Total Nacional;06 Cantabria;;Mujeres;2024;304.529
Total Nacional;06 Cantabria;;Mujeres;2023;303.254
Total Nacional;06 Cantabria;;Mujeres;2022;301.389
Total Nacional;06 Cantabria;;Mujeres;2021;300.854
Total Nacional;07 Castilla y León;;Total;2024;2.391.682
Total Nacional;07 Castilla y León;;Total;2023;2.383.703
Total Nacional;07 Castilla y León;;Total;2022;2.375.583
Total Nacional;07 Castilla y León;;Total;2021;2.385.223
Total Nacional;07 Castilla y León;;Hombres;2024;1.177.504
Total Nacional;07 Castilla y León;;Hombres;2023;1.173.585
Total Nacional;07 Castilla y León;;Hombres;2022;1.170.227
Total Nacional;07 Castilla y León;;Hombres;2021;1.174.957
Total Nacional;07 Castilla y León;;Mujeres;2024;1.214.178
Total Nacional;07 Castilla y León;;Mujeres;2023;1.210.118
Total Nacional;07 Castilla y León;;Mujeres;2022;1.205.356
Total Nacional;07 Castilla y León;;Mujeres;2021;1.210.266
Total Nacional;08 Castilla - La Mancha;;Total;2024;2.104.433
Total Nacional;08 Castilla - La Mancha;;Total;2023;2.084.086
Total Nacional;08 Castilla - La Mancha;;Total;2022;2.058.278
Total Nacional;08 Castilla - La Mancha;;Total;2021;2.052.505
Total Nacional;08 Castilla - La Mancha;;Hombres;2024;1.055.223
Total Nacional;08 Castilla - La Mancha;;Hombres;2023;1.045.115
Total Nacional;08 Castilla - La Mancha;;Hombres;2022;1.031.732
Total Nacional;08 Castilla - La Mancha;;Hombres;2021;1.028.696
Total Nacional;08 Castilla - La Mancha;;Mujeres;2024;1.049.210
Total Nacional;08 Castilla - La Mancha;;Mujeres;2023;1.038.971
Total Nacional;08 Castilla - La Mancha;;Mujeres;2022;1.026.546
Total Nacional;08 Castilla - La Mancha;;Mujeres;2021;1.023.809
Total Nacional;09 Cataluña;;Total;2024;8.012.231
Total Nacional;09 Cataluña;;Total;2023;7.901.963
Total Nacional;09 Cataluña;;Total;2022;7.761.823
Total Nacional;09 Cataluña;;Total;2021;7.749.896
Total Nacional;09 Cataluña;;Hombres;2024;3.943.698
Total Nacional;09 Cataluña;;Hombres;2023;3.887.223
Total Nacional;09 Cataluña;;Hombres;2022;3.820.173
Total Nacional;09 Cataluña;;Hombres;2021;3.814.823
Total Nacional;09 Cataluña;;Mujeres;2024;4.068.533
Total Nacional;09 Cataluña;;Mujeres;2023;4.014.740
Total Nacional;09 Cataluña;;Mujeres;2022;3.941.650
Total Nacional;09 Cataluña;;Mujeres;2021;3.935.073
Total Nacional;10 Comunitat Valenciana;;Total;2024;5.319.285
Total Nacional;10 Comunitat Valenciana;;Total;2023;5.216.195
Total Nacional;10 Comunitat Valenciana;;Total;2022;5.108.116
Total Nacional;10 Comunitat Valenciana;;Total;2021;5.067.911
Total Nacional;10 Comunitat Valenciana;;Hombres;2024;2.615.852
Total Nacional;10 Comunitat Valenciana;;Hombres;2023;2.565.926
Total Nacional;10 Comunitat Valenciana;;Hombres;2022;2.516.724
Total Nacional;10 Comunitat Valenciana;;Hombres;2021;2.497.752
Total Nacional;10 Comunitat Valenciana;;Mujeres;2024;2.703.433
Total Nacional;10 Comunitat Valenciana;;Mujeres;2023;2.650.269
Total Nacional;10 Comunitat Valenciana;;Mujeres;2022;2.591.392
Total Nacional;10 Comunitat Valenciana;;Mujeres;2021;2.570.159
Total Nacional;11 Extremadura;;Total;2024;1.054.681
Total Nacional;11 Extremadura;;Total;2023;1.054.306
Total Nacional;11 Extremadura;;Total;2022;1.056.808
Total Nacional;11 Extremadura;;Total;2021;1.061.636
Total Nacional;11 Extremadura;;Hombres;2024;521.677
Total Nacional;11 Extremadura;;Hombres;2023;521.626
Total Nacional;11 Extremadura;;Hombres;2022;523.255
Total Nacional;11 Extremadura;;Hombres;2021;525.843
Total Nacional;11 Extremadura;;Mujeres;2024;533.004
Total Nacional;11 Extremadura;;Mujeres;2023;532.680
Total Nacional;11 Extremadura;;Mujeres;2022;533.553
Total Nacional;11 Extremadura;;Mujeres;2021;535.793
Total Nacional;12 Galicia;;Total;2024;2.705.833
Total Nacional;12 Galicia;;Total;2023;2.699.424
Total Nacional;12 Galicia;;Total;2022;2.692.825
Total Nacional;12 Galicia;;Total;2021;2.698.177
Total Nacional;12 Galicia;;Hombres;2024;1.301.744
Total Nacional;12 Galicia;;Hombres;2023;1.299.064
Total Nacional;12 Galicia;;Hombres;2022;1.296.582
Total Nacional;12 Galicia;;Hombres;2021;1.299.491
Total Nacional;12 Galicia;;Mujeres;2024;1.404.089
Total Nacional;12 Galicia;;Mujeres;2023;1.400.360
Total Nacional;12 Galicia;;Mujeres;2022;1.396.243
Total Nacional;12 Galicia;;Mujeres;2021;1.398.686
Total Nacional;13 Madrid, Comunidad de;;Total;2024;7.009.268
Total Nacional;13 Madrid, Comunidad de;;Total;2023;6.871.903
Total Nacional;13 Madrid, Comunidad de;;Total;2022;6.743.254
Total Nacional;13 Madrid, Comunidad de;;Total;2021;6.726.640
Total Nacional;13 Madrid, Comunidad de;;Hombres;2024;3.356.163
Total Nacional;13 Madrid, Comunidad de;;Hombres;2023;3.288.197
Total Nacional;13 Madrid, Comunidad de;;Hombres;2022;3.229.127
Total Nacional;13 Madrid, Comunidad de;;Hombres;2021;3.221.401
Total Nacional;13 Madrid, Comunidad de;;Mujeres;2024;3.653.105
Total Nacional;13 Madrid, Comunidad de;;Mujeres;2023;3.583.706
Total Nacional;13 Madrid, Comunidad de;;Mujeres;2022;3.514.127
Total Nacional;13 Madrid, Comunidad de;;Mujeres;2021;3.505.239
Total Nacional;14 Murcia, Región de;;Total;2024;1.568.492
Total Nacional;14 Murcia, Región de;;Total;2023;1.551.692
Total Nacional;14 Murcia, Región de;;Total;2022;1.529.658
Total Nacional;14 Murcia, Región de;;Total;2021;1.518.279
Total Nacional;14 Murcia, Región de;;Hombres;2024;786.038
Total Nacional;14 Murcia, Región de;;Hombres;2023;777.819
Total Nacional;14 Murcia, Región de;;Hombres;2022;767.117
Total Nacional;14 Murcia, Región de;;Hombres;2021;760.831
Total Nacional;14 Murcia, Región de;;Mujeres;2024;782.454
Total Nacional;14 Murcia, Región de;;Mujeres;2023;773.873
Total Nacional;14 Murcia, Región de;;Mujeres;2022;762.541
Total Nacional;14 Murcia, Región de;;Mujeres;2021;757.448
Total Nacional;15 Navarra, Comunidad Foral de;;Total;2024;678.333
Total Nacional;15 Navarra, Comunidad Foral de;;Total;2023;672.155
Total Nacional;15 Navarra, Comunidad Foral de;;Total;2022;664.514
Total Nacional;15 Navarra, Comunidad Foral de;;Total;2021;662.032
Total Nacional;15 Navarra, Comunidad Foral de;;Hombres;2024;335.919
Total Nacional;15 Navarra, Comunidad Foral de;;Hombres;2023;332.575
Total Nacional;15 Navarra, Comunidad Foral de;;Hombres;2022;329.064
Total Nacional;15 Navarra, Comunidad Foral de;;Hombres;2021;327.940
Total Nacional;15 Navarra, Comunidad Foral de;;Mujeres;2024;342.414
Total Nacional;15 Navarra, Comunidad Foral de;;Mujeres;2023;339.580
Total Nacional;15 Navarra, Comunidad Foral de;;Mujeres;2022;335.450
Total Nacional;15 Navarra, Comunidad Foral de;;Mujeres;2021;334.092
Total Nacional;16 País Vasco;;Total;2024;2.227.684
Total Nacional;16 País Vasco;;Total;2023;2.216.302
Total Nacional;16 País Vasco;;Total;2022;2.205.826
Total Nacional;16 País Vasco;;Total;2021;2.212.628
Total Nacional;16 País Vasco;;Hombres;2024;1.083.488
Total Nacional;16 País Vasco;;Hombres;2023;1.077.504
Total Nacional;16 País Vasco;;Hombres;2022;1.072.491
Total Nacional;16 País Vasco;;Hombres;2021;1.075.982
Total Nacional;16 País Vasco;;Mujeres;2024;1.144.196
Total Nacional;16 País Vasco;;Mujeres;2023;1.138.798
Total Nacional;16 País Vasco;;Mujeres;2022;1.133.335
Total Nacional;16 País Vasco;;Mujeres;2021;1.136.646
Total Nacional;17 Rioja, La;;Total;2024;324.184
Total Nacional;17 Rioja, La;;Total;2023;322.282
Total Nacional;17 Rioja, La;;Total;2022;319.617
Total Nacional;17 Rioja, La;;Total;2021;319.444
Total Nacional;17 Rioja, La;;Hombres;2024;159.979
Total Nacional;17 Rioja, La;;Hombres;2023;159.151
Total Nacional;17 Rioja, La;;Hombres;2022;157.875
Total Nacional;17 Rioja, La;;Hombres;2021;157.763
Total Nacional;17 Rioja, La;;Mujeres;2024;164.205
Total Nacional;17 Rioja, La;;Mujeres;2023;163.131
Total Nacional;17 Rioja, La;;Mujeres;2022;161.742
Total Nacional;17 Rioja, La;;Mujeres;2021;161.681
Total Nacional;18 Ceuta;;Total;2024;83.179
Total Nacional;18 Ceuta;;Total;2023;83.052
Total Nacional;18 Ceuta;;Total;2022;83.051
Total Nacional;18 Ceuta;;Total;2021;84.071
Total Nacional;18 Ceuta;;Hombres;2024;41.957
Total Nacional;18 Ceuta;;Hombres;2023;41.897
Total Nacional;18 Ceuta;;Hombres;2022;41.908
Total Nacional;18 Ceuta;;Hombres;2021;42.536
Total Nacional;18 Ceuta;;Mujeres;2024;41.222
Total Nacional;18 Ceuta;;Mujeres;2023;41.155
Total Nacional;18 Ceuta;;Mujeres;2022;41.143
Total Nacional;18 Ceuta;;Mujeres;2021;41.535
Total Nacional;19 Melilla;;Total;2024;85.985
Total Nacional;19 Melilla;;Total;2023;85.493
Total Nacional;19 Melilla;;Total;2022;84.932
Total Nacional;19 Melilla;;Total;2021;86.450
Total Nacional;19 Melilla;;Hombres;2024;43.252
Total Nacional;19 Melilla;;Hombres;2023;43.162
Total Nacional;19 Melilla;;Hombres;2022;42.978
Total Nacional;19 Melilla;;Hombres;2021;43.823
Total Nacional;19 Melilla;;Mujeres;2024;42.733
Total Nacional;19 Melilla;;Mujeres;2023;42.331
Total Nacional;19 Melilla;;Mujeres;2022;41.954
Total Nacional;19 Melilla;;Mujeres;2021;42.627
